サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,,no,II_
6,B2,ウワミズザクラ,4,0.5,0.5,2,,243,0.5
6,B2,エゾユズリハ,0.5,0,0,,,244,0
6,B2,オオカメノキ,5,12,25,25,,245,5
6,B2,オオバクロモジ,5,10,10,18,,246,5
6,B2,コマユミ,6,0,0,0.5,,247,0
6,B2,ツノハシバミ,0.5,0,0,,,248,0
6,B2,トチノキ,0,0.5,0.5,0.5,,249,0.5
6,B2,ハイイヌガヤ,0.5,20,4,7,,250,6
6,B2,ヒメアオキ,3,5,10,2,,251,4
6,B2,ヒメモチ,0,3,1,0.5,,252,3
6,B2,ブナ,0,10,1,0.5,,253,5
6,B2,ミズキ,3,0,0,,,254,0
6,B2,ヤマウルシ,0,3,2,0.5,,255,3
6,B2,イタヤカエデ,,,0.5,0.5,,256,
6,C,オシダ,0,0.5,0.5,0.5,,257,0.5
6,C,シラネワラビ,5,18,30,32,,258,5
6,C,チゴユリ,0,0.5,0.5,0.5,,259,0.5
6,C,ツルアリドオシ,0.5,3,0.5,0.5,,260,3
6,C,トチバニンジン,0,0.5,0,0.5,,261,0.5
6,C,ヒメカンアオイ,0,5,1,0.5,,262,4
6,C,ミヤマカンスゲ,0,15,20,8,,263,5
6,C,ヤマイヌワラビ,0,0.5,0.5,0.5,,264,0.5
6,C,ヤマソテツ,1,3,3,5,,265,3
6,C,ユキザサ,3,3,1,0.5,,266,3
6,C,コカンスゲ,5,0,0,,,267,0
6,C,タケシマラン,,,0.5,0.5,,268,
6,S,チシマザサ,8,60,20,30,,269,8
,,ツクバネソウ,,,,0.5,,,
,,ヒメカンアオイ,,,,1,,,
7,B2,アオダモ,0,2,1,1,,273,2
7,B2,イタヤカエデ,0,0.5,0.5,0.5,,277,0.5
7,B2,ウリハダカエデ,0.5,4,3,6,,278,3
7,B2,オオカメノキ,5,15,20,23,,279,5
7,B2,オオバクロモジ,5,10,7,15,,280,5
7,B2,コシアブラ,0,1,2,1,,281,1
7,B2,コマユミ,4,0,0.5,0.5,,282,0
7,B2,ノリウツギ,0.5,0,0,,,283,0
7,B2,ハイイヌガヤ,0.5,4,1,3,,284,3
7,B2,ハイイヌツゲ,0.5,1,0.5,0.5,,285,1
7,B2,ヒメアオキ,4,5,3,2,,286,4
7,B2,ヒメモチ,0,3,2,1,,287,3
7,B2,ブナ,5,12,1,0.5,,288,5
7,B2,ミズキ,2,0,0.5,,,289,0
7,B2,ヤマウルシ,0,5,2,3.5,,290,4
7,B2,エゾユズリハ,,,1,1,,291,
7,B2,ウワミズザクラ,,,1,4,,292,
7,C,シラネワラビ,6,25,40,28,,293,6
7,C,タチシオデ,0,0.5,0,0.5,,294,0.5
7,C,ツルリンドウ,0,0.5,0,0.5,,295,0.5
7,C,ナライシダ,0,2,0.5,0.5,,296,2
7,C,ヒメカンアオイ,0.5,0,1,0.5,,297,0
7,C,ミヤマカンスゲ,0,12,10,7,,298,5
7,C,ヤマイヌワラビ,0,0.5,0,,,299,0.5
7,C,ヤマソテツ,1,2,3,5,,300,2
7,C,ユキザサ,0.5,2,1,0.5,,301,2
7,C,コイワカガミ,1,0,0,,,302,0
