no,地点名,,種数,アイバソウ,マルバヤナギ,アライトツメクサ,イグサ,イタドリ,アイイタドリ,イヌガラシ,イヌコリヤナギ,イヌトウバナ,エゾノギシギシ,エゾノミツモトソウ,オオイタドリ,オオウシノケグサ,オオバコ,オオバヤナギ,オニウシノケグサ,オノエヤナギ,外来ミミナグサ,カノコソウ,カモガヤ,キオン,キバナカワラマツバ,クサイ,ヤマクルマバナ,ケキツネノボタン,コウライシバ,コガネスゲ,コシノネズミガヤ,コツブアメリカヤガミスゲ,コナスビ,ゴマナ,ササガヤ,シロツメクサ,スイバ,スカシタゴボウ,スギナ,ススキ,スズメノカタビラ,セイヨウウツボグサ（大・白花）,セイヨウウツボグサ（小・白花）,セイヨウウツボグサ（大・紫花）,セイヨウウツボグサ,セイヨウタンポポ,ゼニゴケ,タチオランダゲンゲ,タニウツギ,タニソバ,タヌキラン,ツメクサ,ツボスミレ,Juncus compressus,ドロノキ,ナガハグサ,ニワゼキショウ,Poa sp.（ヌマイチゴツナギ）,ネジバナ,ノアザミ,ノコンギク,ノボロギク,ノミノフスマ,バッコヤナギ,バッコオノエヤナギ,ハルジオン,ハンゴンソウ,ヒメジョオン,ヒメムカシヨモギ,ヒョウタンゴケ,フキ,フランスギク,ホソイ,ホッスガヤ,ミスジナガハグサ,ミドリハコベ,ヤマアゼスゲ,ヤマホタルブクロ,ヨシ？,ヨモギ,雑種ヨモギ,Iris ｓｐ.,ヌカボ,ミミナグサsp.,スイバ×タカネスイバ,エゾノタカネヤナギ,メノマンネングサ,ヨツバヒヨドリ,タチツボスミレ,ヒメヌカボ,セイヨウオダマキ,タガラシ,ヤマハギ,エゾコヌカグサ
,,R1,20,1,,,,1,,,1,1,1,,1,,2,,,2,,,,,1,1,,,,,,,,2,,2,,,2,1,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,
,,R4,21,,,,1,1,1,,1,,1,,1,,3,,,2,1,,,,,1,,,,,,,,2,,1,,,2,1,1,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,
,,R7,21,1,,,1,1,1,,1,,,1,1,,2,,,1,,,,,,1,,,,,,,,1,,2,,,2,1,1,,1,,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
9,弥陀ヶ原ホテル   駐車場,H20,16,,,,,,,,,,3,,,,2,,,2,1,,,,,1,,,,,,,,,,3,,,3,,2,,,,0,1,,,,,,1,,,,,,,1,1,,,,,,,,1,,,2,1,,,,,,,,2,,,,,,,,,,,,1,,
,,H22,11,,,,,,,,,,1,,,,2,,,2,,,,,,,,,,,,,,,,2,,,3,,2,,,,0,1,,,,,,1,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,
,,H25,14,,,,,,,1,,,1,,,,2,,,1,,,,,,1,,,,,,,,2,,1,,,3,1,2,,,,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
,,H28,17,,1,,,,,1,,,2,,,,2,,,1,,,,,,,,,,,,,,2,,2,,,3,,2,,,,0,1,,,1,1,,,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,
,,R1,18,,,,,,,1,,,2,,,,1,,,1,1,,,,,,,,,,,,,1,,2,,,2,1,1,,1,1,2,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,2,,,,,,,,,,,,,
,,R4,17,,,,,,1,1,,,2,,,,1,,,1,1,,,,,,,,,,,,,2,,1,,,2,1,2,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,
,,R7,19,,,,1,,1,1,,,2,,,,2,,,1,1,,,,,,,,,,,,,1,,2,,,1,1,2,,1,1,2,2,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
10,弥陀ヶ原散策路入口,H20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H22,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,
,,H25,9,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,,1,1,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
,,H28,8,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,2,,,1,1,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
,,R1,17,,,,1,1,1,,,,1,,,,1,,,,1,,1,,,,,,,,,,,1,3,1,,,2,,2,,1,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
,,R4,18,,,,,1,1,1,,,1,,1,,2,,,1,1,,,,,,,,,,,,,2,,1,,,2,,3,,1,,1,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,
,,R7,15,,,,,1,,1,,,1,,,,3,,,,1,,,,,,,,,,,,,1,,2,,,1,,2,,1,1,2,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
11,弥陀ヶ原ホテル裏,H20,7,,,,,,,,,,3,,,,3,,,2,2,,,,,,,,,,,,,,,,,,1,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H22,9,,,,,1,,,,,,,,,3,,1,1,,,,,,1,,,,,,,,,,,,,,,4,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,H25,16,,,,1,2,,,,,1,,2,,3,,,,,,,,,,,,,,,,,1,,2,,,1,,3,1,,,1,1,,,,1,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,
,,H28,21,,,,2,2,1,,,,1,,1,,3,,,2,1,,,,,1,,,,,,,,3,,3,,,3,,3,1,,1,2,2,,,,2,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,,,,,,,,,,,,,
,,R1,23,,,1,,2,1,,,1,2,,1,,3,,,2,1,,,,,1,,,,,,,,2,,3,,,2,,2,2,,1,3,1,,,1,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,
,,R4,22,,,1,,2,1,,,,2,,3,,2,,,1,1,,,,,1,,,,,,,,2,,4,,,1,,1,1,2,1,4,1,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,
,,R7,21,,,1,,2,1,,,,3,,2,,3,,,1,1,,,,,2,,,,,,,,1,,5,,,1,,2,1,3,,4,1,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,
