no,地点名,,種数,アイバソウ,マルバヤナギ,アライトツメクサ,イグサ,イタドリ,アイイタドリ,イヌガラシ,イヌコリヤナギ,イヌトウバナ,エゾノギシギシ,エゾノミツモトソウ,オオイタドリ,オオウシノケグサ,オオバコ,オオバヤナギ,オニウシノケグサ,オノエヤナギ,外来ミミナグサ,カノコソウ,カモガヤ,キオン,キバナカワラマツバ,クサイ,ヤマクルマバナ,ケキツネノボタン,コウライシバ,コガネスゲ,コシノネズミガヤ,コツブアメリカヤガミスゲ,コナスビ,ゴマナ,ササガヤ,シロツメクサ,スイバ,スカシタゴボウ,スギナ,ススキ,スズメノカタビラ,セイヨウウツボグサ（大・白花）,セイヨウウツボグサ（小・白花）,セイヨウウツボグサ（大・紫花）,セイヨウウツボグサ,セイヨウタンポポ,ゼニゴケ,タチオランダゲンゲ,タニウツギ,タニソバ,タヌキラン,ツメクサ,ツボスミレ,Juncus compressus,ドロノキ,ナガハグサ,ニワゼキショウ,Poa sp.（ヌマイチゴツナギ）,ネジバナ,ノアザミ,ノコンギク,ノボロギク,ノミノフスマ,バッコヤナギ,バッコオノエヤナギ,ハルジオン,ハンゴンソウ,ヒメジョオン,ヒメムカシヨモギ,ヒョウタンゴケ,フキ,フランスギク,ホソイ,ホッスガヤ,ミスジナガハグサ,ミドリハコベ,ヤマアゼスゲ,ヤマホタルブクロ,ヨシ？,ヨモギ,雑種ヨモギ,Iris ｓｐ.,ヌカボ,ミミナグサsp.,スイバ×タカネスイバ,エゾノタカネヤナギ,メノマンネングサ,ヨツバヒヨドリ,タチツボスミレ,ヒメヌカボ,セイヨウオダマキ,タガラシ,ヤマハギ,エゾコヌカグサ
,,R6,18,,,,,2,1,,,,1,,,,1,,,1,1,,,,,1,,,,,,,,2,,1,,,1,1,1,,,,0,,,,1,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,R7,18,,,,,2,1,,,,1,,,,1,,,1,,,,,,1,,,,,,,,2,,1,,,1,1,1,,1,,1,,,,1,,1,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
53,ガキの広場下部,H25,3,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H26,8,,,,,2,,,,,1,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,0,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
,,H27,6,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,0,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,,H28,11,,,,,2,,,,,2,,,,2,,,1,3,,,,,,,,,,,,,2,,2,,,,,1,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,H29,11,,,,,2,,,,,,,,,1,,,1,2,,,,,,,,,,,,,2,,1,,,,,1,,,,0,,3,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,H30,13,,,,,2,,,,,1,,,,1,,,1,2,,,,,,,,,,,,,3,,1,,,,1,1,,,,0,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,R1,16,,,,,2,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,3,,2,,,,1,1,,,,0,,2,,,,,,1,,1,,,,,,,,,1,2,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,R2,18,,,,,2,1,,,,,,,,2,,,2,1,,,,1,1,,,,,,,,3,,,,,,1,1,,,,0,,1,,,,,,1,,1,,,,,,,,,1,2,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,R3,12,,,,,1,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,2,,,,,,,1,,,,0,,1,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,R4,14,,,,,2,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,2,,,,,,1,1,,,,0,,1,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,R5,12,,,,,1,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,1,,,,,,,1,,,,0,,1,,,,,,,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,R6,12,,,,,1,,,,,,,,,1,,,1,2,,,,1,,,,,,,,,1,,,,,,,1,,,,0,,1,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,R7,14,,,,,1,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,2,,,,,,,1,,,,0,1,1,,,,,,,,1,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
54,弥陀ヶ原遊歩道内回り分岐点,H25,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H26,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H27,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H28,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H29,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H30,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,弥陀ヶ原遊歩道T字路,H25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,H29,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H30,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R3,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R5,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R6,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R7,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
