"","X.2","サブプロット","階層","種名","DK1999","被度2006","被度2012","被度2018","X","memo","X.1","DK2006"
"311",311,11,"C","チゴユリ",1,0,NA,"0.2","","",NA,0
"312",312,11,"C","フキ",NA,NA,0.1,"","","",NA,NA
"313",313,11,"C","オオバショリマ",NA,NA,0.5,"0.3","","",NA,NA
"314",314,11,"C","ヒメゴヨウイチゴ",NA,NA,0.1,"0.1","","",NA,NA
"315",315,11,"S","チシマザサ",9,95,95,"60","","",NA,9
"316",316,NA,"","サンカヨウ",NA,NA,NA,"0.1","","",NA,NA
"317",317,NA,"","コミヤマカタバミ",NA,NA,NA,"0.3","","",NA,NA
"318",318,NA,"","ミヤマアキノキリンソウ",NA,NA,NA,"0.1","","",NA,NA
"319",319,NA,"","オオバショリマ",NA,NA,NA,"0.1","","",NA,NA
"320",320,NA,"","オオバノヨツバムグラ",NA,NA,NA,"0.1","","",NA,NA
"321",321,NA,"","オガラバナ",NA,NA,NA,"0.5","","",NA,NA
"322",322,NA,"","ナナカマド",NA,NA,NA,"0.1","","",NA,NA
"323",323,12,"B2","オオシラビソ",3,5,1,"1.5","","",NA,4
"324",324,12,"B2","オオバスノキ",0,3,2,"1","","",NA,3
"325",325,12,"B2","オガラバナ",5,20,10,"0.8","","",NA,6
"326",326,12,"B2","クロウスゴ",0,1,1,"0.5","","",NA,1
"327",327,12,"B2","クロツリバナ",0,3,0.5,"2","","",NA,3
"328",328,12,"B2","ダケカンバ",0,0.5,0.5,"0.5","","",NA,0.5
"329",329,12,"B2","ナナカマド",5,8,2,"1.8","","",NA,4
"330",330,12,"B2","ハリブキ",0.5,0.5,0.5,"0.1","","",NA,0.5
"331",331,12,"B2","ミネカエデ",4,5,1,"0.3","","",NA,4
"332",332,12,"C","エンレイソウ",0,0.5,0.1,"0.6","","",NA,0.5
"333",333,12,"C","オオバショリマ",0,0.5,1,"0.2","","",NA,0.5
"334",334,12,"C","コイワカガミ",0,0.5,0.1,"","","",NA,0.5
"335",335,12,"C","ゴゼンタチバナ",0,0.5,0.1,"0.1","","",NA,0.5
"336",336,12,"C","コミヤマカタバミ",3,0.5,1,"2","","",NA,0.5
"337",337,12,"C","シノブカグマ",0,0.5,0.5,"0.5","","",NA,0.5
"338",338,12,"C","ショウジョウバカマ",1,1,0.5,"1","","",NA,1
"339",339,12,"C","シラネワラビ",2,1,2,"3","","",NA,1
"340",340,12,"C","タケシマラン",0,2,1,"0.2","","",NA,2
"341",341,12,"C","ヒメゴヨウイチゴ",0,0.5,1,"0.2","","",NA,0.5
"342",342,12,"C","マイヅルソウ",0.5,0.5,0.5,"0.1","","",NA,0.5
"343",343,12,"C","ミヤマカンスゲ",5,8,10,"8","","",NA,4
"344",344,12,"C","ミヤマワラビ",0,0.5,NA,"","","",NA,0.5
"345",345,12,"C","ヤマソテツ",0,2,0,"","","",NA,2
"346",346,12,"C","チゴユリ",2,0,NA,"","","",NA,0
"347",347,12,"C","ヤマソテツ",3,0,0.5,"1","","",NA,0
"348",348,12,"C","ヒロハユキザサ",NA,NA,0.1,"","","",NA,NA
"349",349,12,"C","サンカヨウ",NA,NA,0.1,"","","",NA,NA
"350",350,12,"S","チシマザサ",9,95,90,"90","","",NA,9
"351",351,NA,"","ヤマドリゼンマイ",NA,NA,NA,"0.5","","",NA,NA
"352",352,NA,"","ダケカンバ",NA,NA,NA,"1.1","","",NA,NA
"353",353,NA,"","イワナシ",NA,NA,NA,"0.1","","",NA,NA
"354",354,NA,"","ムラサキヤシオツツジ",NA,NA,NA,"0.1","","",NA,NA
"355",355,NA,"","ツマトリソウ",NA,NA,NA,"0.2","","",NA,NA
"356",356,NA,"","ツクバネソウ",NA,NA,NA,"0.2","","",NA,NA
"357",357,NA,"","キヌガサソウ",NA,NA,NA,"0.1","","",NA,NA
"358",358,NA,"","オオカメノキ",NA,NA,NA,"1","","",NA,NA
"359",359,13,"B2","ウラジロナナカマド",0,2,2,"3","","",NA,2
"360",360,13,"B2","オオカメノキ",3,3,3,"","","",NA,3
"361",361,13,"B2","オオシラビソ",4,4,2,"0.7","","",NA,3
"362",362,13,"B2","オオバスノキ",1,2,4,"1.1","","",NA,2
"363",363,13,"B2","オガラバナ",4,8,5,"5","","",NA,4
"364",364,13,"B2","クロウスゴ",3,2,2,"3","","",NA,2
"365",365,13,"B2","クロツリバナ",3,5,3,"4","","",NA,4
"366",366,13,"B2","ダケカンバ",4,5,2,"3","","",NA,4
"367",367,13,"B2","ナナカマド",0,3,8,"","","",NA,3
"368",368,13,"B2","ハリブキ",0,0.5,NA,"0.5","","",NA,0.5
"369",369,13,"B2","ミヤマハンノキ",0,2,NA,"","","",NA,2
"370",370,13,"B2","ムラサキヤシオツツジ",0,0.5,NA,"","","",NA,0.5
"371",371,13,"B2","タカネナナカマド",2,0,NA,"","","",NA,0
"372",372,13,"B2","ミネカエデ",NA,NA,2,"","","",NA,NA
"373",373,13,"B2","ヒメウスノキ",NA,NA,0.1,"0.1","","",NA,NA
"374",374,13,"C","イヌワラビ",0,0.5,NA,"","","",NA,0.5
"375",375,13,"C","イワナシ",1,1,1,"","","",NA,1
"376",376,13,"C","オオバノヨツバムグラ",0,0.5,NA,"","","",NA,0.5
"377",377,13,"C","エンレイソウ",0,0.5,0.1,"","","",NA,0.5
"378",378,13,"C","オオバショリマ",0,1,0.5,"0.5","","",NA,1
"379",379,13,"C","キヌガサソウ",2,2,0.5,"1","","",NA,2
"380",380,13,"C","ゴゼンタチバナ",0,2,1,"0.7","","",NA,2
"381",381,13,"C","コミヤマカタバミ",3,3,3,"1.1","","",NA,3
"382",382,13,"C","シノブカグマ",2,1,0.5,"","","",NA,1
"383",383,13,"C","ショウジョウバカマ",2,2,0.5,"0.4","","",NA,2
"384",384,13,"C","シラネワラビ",4,6,5,"5","","",NA,4
"385",385,13,"C","ツクバネソウ",0.5,0.5,0.1,"","","",NA,0.5
"386",386,13,"C","ツマトリソウ",0.5,0.5,0.1,"0.2","","",NA,0.5
"387",387,13,"C","ツルリンドウ",0.5,0,NA,"","","",NA,0
"388",388,13,"C","ヒメゴヨウイチゴ",5,5,2,"2","","",NA,4
"389",389,13,"C","ヒメタケシマラン",0,0.5,0.1,"0.2","","",NA,0.5
"390",390,13,"C","ミズバショウ",4,4,5,"6","","",NA,3
"391",391,13,"C","ミツバオウレン",0,0.5,0.1,"","","",NA,0.5
"392",392,13,"C","ミヤマカンスゲ",6,15,15,"9","","",NA,5
"393",393,13,"C","チゴユリ",1,0,NA,"","","",NA,0
"394",394,13,"C","ミヤマアキノキリンソウ",0.5,0,0.1,"","","",NA,0
"395",395,13,"C","ヤマソテツ",NA,NA,1,"2.2","","",NA,NA
"396",396,13,"C","ヒメワラビ",NA,NA,1,"","","",NA,NA
"397",397,13,"S","チシマザサ",9,95,80,"85","","",NA,9
"398",398,NA,"","マイヅルソウ",NA,NA,NA,"0.1","","",NA,NA
"399",399,NA,"","オオバタケシマラン",NA,NA,NA,"1","","",NA,NA
"400",400,14,"B2","オオカメノキ",3,2,2,"2.1","","",NA,2
"401",401,14,"B2","オオシラビソ",4,5,3,"2","","",NA,4
"402",402,14,"B2","オオバスノキ",5,10,10,"3.3","","",NA,5
"403",403,14,"B2","クロウスゴ",1,0,0.5,"","","",NA,0
"404",404,14,"B2","ナナカマド",4,5,4,"5","","",NA,4
"405",405,14,"B2","ハリブキ",0,0.5,NA,"0.2","","",NA,0.5
"406",406,14,"B2","ヒメウスノキ",0,0.5,0.5,"","","",NA,0.5
"407",407,14,"B2","ベニバナイチゴ",0,0.5,NA,"","","",NA,0.5
"408",408,14,"B2","ミネカエデ",4,6,5,"1.1","","",NA,4
"409",409,14,"C","イヌワラビ",0,0.5,NA,"","","",NA,0.5
"410",410,14,"C","イワナシ",0,0.5,0.1,"","","",NA,0.5
"411",411,14,"C","オオバノヨツバムグラ",0,1,NA,"","","",NA,1
"412",412,14,"C","エンレイソウ",0,0.5,NA,"","","",NA,0.5
"413",413,14,"C","オオバショリマ",0,0.5,0.5,"0.5","","",NA,0.5
"414",414,14,"C","オオバユキザサ",0,0.5,0.1,"","","",NA,0.5
"415",415,14,"C","コイワカガミ",0,0.5,0.5,"","","",NA,0.5
"416",416,14,"C","コミヤマカタバミ",0,5,0.5,"0.2","","",NA,4
"417",417,14,"C","サンカヨウ",0,0.5,0.1,"","","",NA,0.5
"418",418,14,"C","シノブカグマ",2,0,1,"","","",NA,0
"419",419,14,"C","ショウジョウバカマ",1,1,0.5,"0.2","","",NA,1
"420",420,14,"C","シラネワラビ",0,0.5,0.5,"0.1","","",NA,0.5
"421",421,14,"C","タニギキョウ",0,1,NA,"","","",NA,1
"422",422,14,"C","ツクバネソウ",0,1,0.1,"","","",NA,1
"423",423,14,"C","ツマトリソウ",0,0.5,0.1,"","","",NA,0.5
"424",424,14,"C","ツルリンドウ",3,0,0.1,"","","",NA,0
"425",425,14,"C","ヒメゴヨウイチゴ",0,1,0.5,"0.1","","",NA,1
"426",426,14,"C","ヒメタケシマラン",0,1,0.1,"0.1","","",NA,1
"427",427,14,"C","ミズバショウ",2,2,3,"2","","",NA,2
"428",428,14,"C","ミツバオウレン",0.5,0.5,0.1,"0.2","","",NA,0.5
"429",429,14,"C","ミヤマカンスゲ",6,30,20,"7","","",NA,6
"430",430,14,"C","ミヤマメシダ",0,2,1,"","","",NA,2
"431",431,14,"C","ミヤマワラビ",0,0.5,NA,"","","",NA,0.5
"432",432,14,"C","モミジカラマツ",0,1,NA,"","","",NA,1
"433",433,14,"C","ヤマソテツ",0,4,3,"1.4","","",NA,3
"434",434,14,"C","ゴゼンタチバナ",4,0,0.5,"0.1","","",NA,0
"435",435,14,"C","チゴユリ",0.5,0,NA,"","","",NA,0
"436",436,14,"S","チシマザサ",9,95,95,"83","","",NA,9
"437",437,NA,"","ミヤマアキノキリンソウ",NA,NA,NA,"0.1","","",NA,NA
"438",438,15,"B2","オオカメノキ",0.5,0.5,0.1,"0.1","","",NA,0.5
"439",439,15,"B2","オオシラビソ",3,0,2,"1.1","","",NA,0
"440",440,15,"B2","オオバスノキ",0,6,3,"0.2","","",NA,4
"441",441,15,"B2","クロウスゴ",1,0.5,0.1,"0.3","","",NA,0.5
"442",442,15,"B2","クロツリバナ",0,1,NA,"","","",NA,1
"443",443,15,"B2","ナナカマド",0.5,0.5,0.5,"0.5","","",NA,0.5
"444",444,15,"B2","ヒメウスノキ",0,0.5,0.1,"0.4","","",NA,0.5
"445",445,15,"B2","ミネカエデ",5,10,8,"6","","",NA,5
"446",446,15,"B2","オガラバナ",NA,NA,0.5,"","","",NA,NA
"447",447,15,"B2","ムラサキヤシオツツジ",NA,NA,0.1,"","","",NA,NA
"448",448,15,"C","イワナシ",0.5,0,0.1,"","","",NA,0
"449",449,15,"C","エンレイソウ",0,0.5,0.1,"0.3","","",NA,0.5
"450",450,15,"C","オオバショリマ",0,0.5,0.5,"0.3","","",NA,0.5
"451",451,15,"C","コイワカガミ",0,1,0.1,"0.1","","",NA,1
"452",452,15,"C","ゴゼンタチバナ",0,2,0.1,"0.2","","",NA,2
"453",453,15,"C","シノブカグマ",3,1,2,"0.2","","",NA,1
"454",454,15,"C","ショウジョウバカマ",2,1,0.1,"0.3","","",NA,1
"455",455,15,"C","シラネワラビ",1,3,2,"6.3","","",NA,3
"456",456,15,"C","タニギキョウ",0.5,0,NA,"","","",NA,0
"457",457,15,"C","ツクバネソウ",0,0.5,0.1,"0.1","","",NA,0.5
"458",458,15,"C","ツマトリソウ",0.5,0.5,0.1,"0.1","","",NA,0.5
"459",459,15,"C","ツルリンドウ",0.5,1,0.1,"0.1","","",NA,1
"460",460,15,"C","ヒメゴヨウイチゴ",0,0.5,0.5,"0.2","","",NA,0.5
"461",461,15,"C","ヒメタケシマラン",0,2,0.1,"0.3","","",NA,2
"462",462,15,"C","ヒロハユキザサ",0,0.5,0.1,"","","",NA,0.5
