layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
C,チゴユリ,h,1,0,0.4230769230769231,0.46153846153846156,0.46153846153846156,Ⅴ,-,Ⅲ,Ⅲ,Ⅲ,1.24,0,0.184,0.08,0.048,35.21363372331802,0,8.823046743962873,6.076436202502,4.706787243316417,0
C,ツクバネソウ,h,0.38461538461538464,0.34615384615384615,0.4230769230769231,0.4230769230769231,0.4230769230769231,Ⅱ,Ⅱ,Ⅲ,Ⅲ,Ⅲ,0.22,0.2,0.088,0.056,0.176,9.198662110077999,8.320502943378438,6.10170215847752,4.867474467555808,8.629109946080096,1
C,ツマトリソウ,h,0.2692307692307692,0.23076923076923078,0.34615384615384615,0.4230769230769231,0.34615384615384615,Ⅱ,Ⅱ,Ⅱ,Ⅲ,Ⅱ,0.12,0.1,0.096,0.052000000000000005,0.052000000000000005,5.683985600588051,4.803844614152615,5.764613536983137,4.69041575982343,4.242640687119285,1
C,ツルリンドウ,h,0.5769230769230769,0.46153846153846156,0.46153846153846156,0.5,0.5,Ⅲ,Ⅲ,Ⅲ,Ⅲ,Ⅲ,0.58,0.48,0.176,0.056,0.08800000000000001,18.292495308606327,14.884168150705014,9.012811394385729,5.2915026221291805,6.6332495807108,1
C,テガタチドリ,h,0,0,0.07692307692307693,0.07692307692307693,0,-,-,Ⅰ,Ⅰ,-,0,0,0.004,0.004,0,0,0,0.554700196225229,0.554700196225229,0,0
C,ノコンギク,h,0.19230769230769232,0,0,0,0.07692307692307693,Ⅰ,-,-,-,Ⅰ,0.64,0,0,0,0.008,11.09400392450458,0,0,0,0.7844645405527361,0
C,ハクモウイノデ,f,0.11538461538461539,0,0,0,0,Ⅰ,-,-,-,-,0.1,0,0,0,0,3.3968311024337874,0,0,0,0,0
C,ヒゲノガリヤス,h,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.19230769230769232,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.2,0.2,0.024,0.04,1.28,5.54700196225229,4.803844614152615,1.6641005886756872,1.7541160386140586,15.689290811054722,1
C,ヒメゴヨウイチゴ,ds,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.5769230769230769,0.5769230769230769,Ⅲ,Ⅲ,Ⅳ,Ⅲ,Ⅲ,1.58,2.04,0.684,0.596,0.676,27.004273166126307,30.68449871740553,20.51640994236265,18.54308911282459,19.748417658131498,1
C,ヒメタケシマラン,h,0,0.7307692307692307,0.7307692307692307,0.6923076923076923,0,-,Ⅳ,Ⅳ,Ⅳ,-,0,0.72,0.316,0.148,0,0,22.93804364268771,15.196153359422143,10.122328707443678,0,0
C,ヒメノガリヤス,h,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.08,0.08,0.204,0.004,0.08,2.4806946917841692,2.4806946917841692,5.602197371087114,0.554700196225229,2.4806946917841692,1
C,ヒメワラビ,f,0,0,0.07692307692307693,0,0.15384615384615385,-,-,Ⅰ,-,Ⅰ,0,0,0.04,0,0.02,0,0,1.7541160386140586,0,1.7541160386140586,0
C,ヒロハユキザサ,h,0,0.34615384615384615,0.5,0.38461538461538464,0.5384615384615384,-,Ⅱ,Ⅲ,Ⅱ,Ⅲ,0,0.18,0.252,0.16,0.196,0,7.8935221737632615,11.224972160321823,7.844645405527361,10.273191399874799,0
C,フキ,h,0.23076923076923078,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.23076923076923078,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,0.62,1.42,0.764,1.2,0.384,11.961476626107792,19.552690155262326,14.341977119362157,17.97434068545834,9.413574486632834,1
C,ホソバトウゲシバ,f,0,0.07692307692307693,0,0,0,-,Ⅰ,-,-,-,0,0.02,0,0,0,0,1.2403473458920846,0,0,0,0
C,マイヅルソウ,h,0.6923076923076923,0.5,0.6538461538461539,0.7692307692307693,0.7307692307692307,Ⅳ,Ⅲ,Ⅳ,Ⅳ,Ⅳ,1.02,0.64,0.34400000000000003,0.336,0.212,26.57355539166421,17.88854381999832,14.997435678244363,16.076739049370005,12.446809909493954,1
C,マルバダケブキ,h,0,0,0,0.11538461538461539,0,-,-,-,Ⅰ,-,0,0,0,0.06,0,0,0,0,2.631174057921087,0,0
C,ミズバショウ,h,0.6153846153846154,0.6538461538461539,0.6923076923076923,0.7692307692307693,0.8076923076923077,Ⅳ,Ⅳ,Ⅳ,Ⅳ,Ⅴ,1.78,3.38,3.144,3.088,3.084,33.0965952234458,47.01063709417263,46.65421079190371,48.737917634882756,49.90914822878745,1
C,ミツバオウレン,h,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.4230769230769231,0.3076923076923077,Ⅱ,Ⅱ,Ⅲ,Ⅲ,Ⅱ,0.22,0.2,0.14,0.044000000000000004,0.048,8.227533512074423,8.770580193070291,8.038369524685002,4.314554973040049,3.8430756913220914,1
C,ミヤマアキノキリンソウ,h,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.15384615384615385,0.38461538461538464,Ⅱ,Ⅱ,Ⅱ,Ⅰ,Ⅱ,0.32,0.24,0.056,0.012,0.108,9.922778767136677,8.038369524685002,3.8829013735766034,1.358732440973515,6.445033866354895,1
C,ミヤマイタチシダ,f,0,0,0.11538461538461539,0.15384615384615385,0,-,-,Ⅰ,Ⅰ,-,0,0,0.04,0.064,0,0,0,2.1483446221182985,3.1378581622109443,0,0
C,ミヤマカタバミ,h,0,0,0.11538461538461539,0.07692307692307693,0.19230769230769232,-,-,Ⅰ,Ⅰ,Ⅰ,0,0,0.04,0.02,0.176,0,0,2.1483446221182985,1.2403473458920846,5.817744738827396,0
C,ミヤマカンスゲ,h,1,0.9615384615384616,1,0.9615384615384616,1,Ⅴ,Ⅴ,Ⅴ,Ⅴ,Ⅴ,5.52,17.32,13.32,13.56,10.268,74.29670248402684,129.04978168848697,115.41230437002807,114.18608294560919,101.33114032714722,1
C,ミヤマシシウド,h,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.34615384615384615,0.3076923076923077,Ⅰ,Ⅰ,Ⅱ,Ⅱ,Ⅱ,0.12,0.36,0.48,1.22,1.088,4.296689244236597,7.442084075352507,10.524696231684349,20.550126333132166,18.296699996699697,1
C,ミヤマシシガシラ,f,0,0,0,0.07692307692307693,0.07692307692307693,-,-,-,Ⅰ,Ⅰ,0,0,0,0.004,0.044000000000000004,0,0,0,0.554700196225229,1.8397324220155995,0
C,ミヤマセンキュウ,h,0,0,0.07692307692307693,0.07692307692307693,0.19230769230769232,-,-,Ⅰ,Ⅰ,Ⅰ,0,0,0.004,0.004,0.016,0,0,0.554700196225229,0.554700196225229,1.7541160386140586,0
C,ミヤマベニシダ,f,0,0,0.11538461538461539,0.15384615384615385,0,-,-,Ⅰ,Ⅰ,-,0,0,0.024,0.036,0,0,0,1.6641005886756872,2.3533936216582085,0,0
C,ミヤマメシダ,f,0,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.15384615384615385,-,Ⅱ,Ⅱ,Ⅱ,Ⅰ,0,0.38,0.5,0.32,0.028,0,10.114726506816302,11.602387022306427,8.593378488473194,2.0754980866510833,0
C,ミヤマワラビ,f,0.23076923076923078,0.38461538461538464,0.34615384615384615,0.2692307692307692,0.34615384615384615,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,0.16,0.26,0.208,0.092,0.23600000000000002,6.076436202502,10,8.48528137423857,4.976869575268249,9.038379705030525,1
C,メシダ,f,0.23076923076923078,0,0,0,0.07692307692307693,Ⅱ,-,-,-,Ⅰ,0.24,0,0,0,0.004,7.442084075352507,0,0,0,0.554700196225229,0
C,モミジカラマツ,h,0.07692307692307693,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.15384615384615385,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0.2,0.4,0.444,0.438,0.104,3.9223227027636804,8.770580193070291,8.264846780654334,8.208813275048676,3.9999999999999996,1
